GEO_ID,NAME,POP
1600000US0177784,"Union Grove town, Alabama",74
1600000US0177880,"Union Springs city, Alabama",3287
1600000US0177904,"Uniontown town, Alabama",1655
1600000US0178120,"Uriah CDP, Alabama",214
1600000US0178204,"Valley city, Alabama",10406
1600000US0178232,"Valley Grande city, Alabama",4106
1600000US0178240,"Valley Head town, Alabama",825
1600000US0178264,"Vance town, Alabama",1822
1600000US0178312,"Vandiver CDP, Alabama",890
1600000US0178480,"Vernon city, Alabama",1819
1600000US0178552,"Vestavia Hills city, Alabama",38704
1600000US0178984,"Vina town, Alabama",368
1600000US0179008,"Vincent town, Alabama",1870
1600000US0179032,"Vinegar Bend CDP, Alabama",198
1600000US0179272,"Vredenburgh town, Alabama",103
1600000US0179344,"Wadley town, Alabama",837
1600000US0179488,"Waldo town, Alabama",282
1600000US0179728,"Walnut Grove town, Alabama",871
1600000US0179944,"Warrior city, Alabama",3204
1600000US0180064,"Waterloo town, Alabama",92
1600000US0180256,"Waverly town, Alabama",312
1600000US0180352,"Weaver city, Alabama",3323
1600000US0180376,"Webb town, Alabama",1398
1600000US0180496,"Wedowee town, Alabama",905
1600000US0180736,"Weogufka CDP, Alabama",246
1600000US0180928,"West Blocton town, Alabama",1320
1600000US0181084,"West End-Cobb Town CDP, Alabama",3705
1600000US0181336,"West Jefferson town, Alabama",527
1600000US0181504,"Westover town, Alabama",2298
1600000US0181528,"West Point town, Alabama",566
1600000US0181720,"Wetumpka city, Alabama",7182
1600000US0181744,"Whatley CDP, Alabama",285
1600000US0181912,"White Hall town, Alabama",649
1600000US0182104,"White Plains CDP, Alabama",895
1600000US0182176,"Whitesboro CDP, Alabama",2098
